dataset,shot,method,split,n,mean_accuracy,std_accuracy,ci95_half_width,seeds,parameter_count,runtime_seconds_total,git_revisions
oxford_pets,1,ohsinglora,test,3,89.088762,0.890018,2.211106,1 2 3,276480,566.034561,8129bd1b2d3ca6aeb3010150142020c66f5ad403
oxford_pets,4,lora,test,3,91.014809,0.359867,0.894032,1 2 3,368640,1247.932070,8129bd1b2d3ca6aeb3010150142020c66f5ad403
oxford_pets,4,ohsinglora,test,3,90.978468,0.559234,1.389326,1 2 3,276480,1775.932997,8129bd1b2d3ca6aeb3010150142020c66f5ad403
oxford_pets,16,lora,test,3,92.822749,0.592348,1.471592,1 2 3,368640,3602.935082,8129bd1b2d3ca6aeb3010150142020c66f5ad403
oxford_pets,16,ohsinglora,test,3,92.850005,0.621718,1.544557,1 2 3,276480,5702.628940,8129bd1b2d3ca6aeb3010150142020c66f5ad403
ucf101,1,lora,test,3,76.473698,0.530660,1.318338,1 2 3,368640,368.958082,8129bd1b2d3ca6aeb3010150142020c66f5ad403
ucf101,1,ohsinglora,test,3,74.253238,0.343643,0.853724,1 2 3,276480,514.059419,8129bd1b2d3ca6aeb3010150142020c66f5ad403
ucf101,4,lora,test,3,81.628337,1.213377,3.014440,1 2 3,368640,1167.957839,8129bd1b2d3ca6aeb3010150142020c66f5ad403
ucf101,4,ohsinglora,test,3,81.769319,1.513989,3.761260,1 2 3,276480,1809.763767,8129bd1b2d3ca6aeb3010150142020c66f5ad403
ucf101,16,lora,test,3,86.809411,0.744390,1.849315,1 2 3,368640,4143.410730,8129bd1b2d3ca6aeb3010150142020c66f5ad403
ucf101,16,ohsinglora,test,3,86.412900,0.209814,0.521248,1 2 3,276480,6732.580657,8129bd1b2d3ca6aeb3010150142020c66f5ad403
